	title	category
51	'Revitalização de blocos é reação à crise', diz historiador do Carnaval	nation
52	'Vou reconhecer meus erros', diz ex-secretário de Cabral	nation
53	'Não indiquei um alfinete' para o governo Temer, diz Eduardo Cunha	nation
54	Projeto que reduz taxa de resíduos de saúde é aprovado na Câmara de SP	nation
55	Com 'manutenção a 50 km/h', marginais têm placas caídas e entulho	nation
56	PMDB deve lealdade ao governo, diz ministro Helder Barbalho	nation
57	'República dos Carecas' comanda áreas cabeludas do novo governo	nation
58	PT pode apoiar nome do PMDB para presidir o Senado	nation
59	Alalaô: Ao som de Milla, ACM Neto cai na folia em Salvador e divulga imagens	nation
60	Dilma teme retorno do impeachment caso partidos aliados abandonem base	nation
61	'B.O.' de Lampião vai virar peça de museu 80 anos após crimes no RN	nation
62	Mortalidade infantil atinge o menor nível em 41 anos, aponta IBGE	nation
63	Prefeitura pede ajuda à PM e estuda fazer 'armadilha' contra o Uber em SP	nation
64	Selfie com tubarão rende mordida e multa de R$ 10 mil a turista da Paraíba	nation
65	Prefeitura de São Paulo vai manter ônibus com luzes de Natal	nation
66	Tentativa de suicídio pode não buscar morte, mas mensagem, diz psiquiatra	nation
67	Delator aponta repasse de propina para Dirceu e tesoureiro de Dilma	nation
68	Depois do almoço, Lula deve atuar para buscar votos entre senadores	nation
69	Acumulada, Mega-Sena pode pagar prêmio de R$ 6,8 milhões nesta quarta	nation
70	PSDB 'engorda' nos Estados após janela de troca-troca partidário	nation
71	Mais da metade dos paulistanos diz morar na periferia, segundo Datafolha	nation
72	Fala de papa sobre contraceptivo ainda não é norma, diz CNBB	nation
73	Linha do metrô do SP surpreende com 'anúncio musical' dentro dos trens	nation
74	Motorista de caminhão é flagrado após 'furar' pedágio pela 325ª vez	nation
75	Pão de Açúcar não consegue explicar R$ 8 mi pagos a Thomaz Bastos	nation
76	Cardozo entrega defesa de Dilma e fala à comissão do impeachment na 2ª	nation
77	Barragem com água da transposição do São Francisco vira praia sertaneja	nation
78	"Frederico Vasconcelos: ""Quem gera empregos são as obras, não as empreiteiras investigadas"""	nation
79	Em novo ato, 10 mil vão às ruas de Curitiba contra o governo Richa	nation
80	Maior força do PT quer Mercadante fora da articulação	nation
81	Sete são presos suspeitos de espancar e matar jovem no Rio Grande do Sul	nation
82	Após cirurgia nos EUA, menina Júlia dá seus primeiros passos	nation
83	Campanha de Dilma é alvo da Lava Jato, dizem Aécio e Alckmin	nation
84	PSDB discute reconhecer 'erros' e refundar sigla para superar Lava Jato	nation
85	Crime organizado domina comércio da fronteira entre Paraguai e Brasil	nation
86	Alalaô: Região central vai ser o grande palco do Carnaval de rua em São Paulo	nation
87	Advogado diz que juiz 'induziu' depoimento para confirmar acusações	nation
88	Intimado para novo depoimento, Lula pede ao STF para trancar investigações	nation
89	Moro critica menção a Dias Toffoli em relatório policial da Lava Jato	nation
90	Advogados pleiteiam perdão judicial a Costa	nation
91	Ginásio e igreja recebem velório coletivo de vítimas de acidente	nation
92	Coordenador de combate à corrupção é escolhido pela PGR para atuar no TSE	nation
93	Objetos de neto de Chico Anysio que desapareceu são encontrados no Rio	nation
94	O Carnaval paulistano é um compilado de lendas e passa bem	nation
95	Casal arrecada dinheiro para construir casa de barro no interior de SP	nation
96	Porta-voz diz que aplicativo Uber é legal e precisa ser regulamentado	nation
97	Homem armado invade casa, mata ex-mulher, filho e mais dez em Campinas	nation
98	Mortes: Publicitário, lutou na 2ª Guerra pela Itália	nation
99	Prefeitura derruba liminar, e Wesley Safadão fará show em Caruaru	nation
100	Nomeação de Cardozo é criticada por servidores e advogados da AGU	nation
101	Dilma sanciona alterações no novo Código de Processo Civil	nation
102	Após protesto em Brasília, Polícia Militar fecha acesso ao Palácio do Alvorada	nation
103	Governo agilizará nomeações da base aliada para aprovar teto de gastos	nation
104	Denúncias são 'gravíssimas', diz Cunha na decisão pelo impeachment de Dilma	nation
105	Agência dos EUA relata 14 casos de transmissão do zika pelo sexo	nation
106	Cunha manobra contra decisão de ministro sobre impeachment de Temer	nation
107	Democracia: o lado certo da história	nation
108	Câmara rejeita duas propostas de mudança do sistema eleitoral	nation
109	Operador relata repatriação de propina paga por Eike a Cabral	nation
110	Policiais dizem à CPI que escuta na cela de Youssef estava ativa e era ilegal	nation
111	'Cabeças pretas' do PSDB viram estrelas do partido	nation
112	Ex-ministro não é encontrado, e depoimento na Lava Jato é adiado	nation
113	Com tempo seco, São Paulo completa uma semana sem chuvas	nation
114	Arquitetos criticam pintura de grafite em parede tombada do centro de SP	nation
115	Mortes: Guiava Covas nas reuniões da Educação de São Paulo	nation
116	Com retorno de diretor, TV Brasil deve realizar entrevista com Dilma	nation
117	Veja os lançamentos da área jurídica em destaque nesta semana	nation
118	Rebelião causa incêndio em centro de detenção provisória de Pinheiros	nation
119	Fala contra assassinatos de negros em programa tucano vira alvo de racismo	nation
120	Governo abre consulta pública sobre Marco Civil da Internet	nation
121	Rio Guaíba atinge maior nível em 74 anos e causa estragos no RS	nation
122	Após trapalhada da CET, prefeitura cancela multas em avenidas de SP	nation
123	Reforço de Temer para segurança no Rio equivale a 0,2% do efetivo da PM	nation
124	Erramos: Água no Brasil	nation
125	Michel Temer inicia consultas para escolher sucessor de Teori Zavascki	nation
126	Escolha de Covas como vice incomoda adversários de Doria no PSDB	nation
127	Governo de SP diz que ocupação de escolas é 'ação seletiva' e 'política'	nation
128	Procuradoria pede regime fechado para Odebrecht após condenação	nation
129	Eleições municipais podem ser anuladas em até 147 cidades	nation
130	Colegas de GCM não confirmam versão de guarda que matou garoto de 11 anos	nation
131	Em nova troca no alto escalão, Doria demite secretário do Verde	nation
132	Temer deve se reunir com Alckmin para evitar saída do PSDB de SP	nation
133	Sob chuva, Oktoberfest de SP mistura axé e músicas folclóricas alemãs	nation
134	Árvore de Natal do Ibirapuera é a menor da história da atração	nation
135	Suspeito de propina, promotor é afastado para ser investigado em SP	nation
136	Ex-ministro de Lula vira alternativa a Lula para presidir PT	nation
137	Caminhão cai de ponte e mata uma pessoa na marginal Tietê, em SP	nation
138	Mortes: Jornalista que lutou pela liberdade	nation
139	Prefeitura volta atrás e descarta fechar pista da marginal de madrugada	nation
140	Joinville, em SC, quer dobrar uso de bikes e chegar a 730 km de ciclovias	nation
141	Polícia do RS faz operação contra fraudes em cirurgias de próteses	nation
142	Postalis pôs R$ 570 mi em empresas ligadas a suposto operador do PMDB	nation
143	Com pouca fiscalização, navegação deixa 2.300 mortos em 10 anos no país	nation
144	Frederico Vasconcelos: CNJ impede a atuação de juízes em processos patrocinados por parentes	nation
145	Irmã de atirador em Goiás diz que ele foi agredido por candidato	nation
146	Presidente do PMDB nega convite para Marta se filiar ao partido	nation
147	Novo e vazio, parque na zona oeste de SP tem duas áreas para crianças	nation
148	Servidores do Rio invadem plenário de Assembleia após parcelamento de 13º	nation
149	STF mantém prisão de Andrea Neves, irmã de Aécio	nation
150	Novos médicos de São Paulo deverão passar por prova de conselho	nation
151	Ministro Afif Domingos vira alvo de ação do Ministério Público	nation
152	PMDB adia para março reunião que poderia selar saída do governo	nation
153	Policial aposentado é baleado no Rio	nation
154	Alalaô: Espero que minha história ajude a Mocidade, diz Marília emocionada	nation
155	Rui Falcão minimiza atrito com Dilma, mas mantém opinião sobre economia	nation
156	Temer quer escolher sucessor de Jucá alinhado a Meirelles	nation
157	Erramos: Painel: Articulação tenta garantir habeas corpus no STJ para empreiteiros	nation
158	"Frederico Vasconcelos: ""Incendiar fóruns e caçar juízes não é novidade em terras maranhenses"""	nation
159	Novo em Folha: Com foco no digital, NYT anuncia mudanças na rotina da Redação	nation
160	População brasileira soma 203,2 milhões; maioria se declara branca	nation
161	Seminário Ilustríssima e FGV discute reforma política e democracia	nation
162	Alalaô: Plano para dispersar foliões falha em São Paulo	nation
163	Por mais filiados, partidos pequenos tentam tirar as decisões de caciques	nation
164	Lenços unem mulheres com câncer e ajudam a enfrentar a doença	nation
165	Aliados ameaçam trair tucanos caso Alckmin seja o escolhido para 2018	nation
166	Na 'TV Folha', professores comentam ao vivo as provas do Enem 2015	nation
167	Rosso confirma que vai concorrer à presidência da Câmara	nation
168	Erramos: Barusco diz que recebia 'bilhetinhos' de Vaccari sobre propina	nation
169	Trem de carga sai dos trilhos e vagões tombam em Minas Gerais	nation
170	Propostas de João Doria para saúde em SP são paliativas, dizem técnicos	nation
171	TJ-GO reduz indenização a ser paga por mulher que bateu em cão até a morte	nation
172	Depois de reação de militares, Temer volta atrás em indicação para a Defesa	nation
173	Erramos: Painel: PT promete 'guerra' a oposição em reação a ofensiva contra Lula	nation
174	Pavilhão com 52 boxes é demolido na feirinha da madrugada em São Paulo	nation
175	Governo aperta gestão de estatais e quer dirigente de 'reputação ilibada'	nation
176	Daltônico, artista pinta fachadas de casas e barcos em ilha no Pará	nation
177	Águas-vivas deixam feridos durante maratona aquática em Bertioga	nation
178	Planalto ainda decide sobre apoios no segundo turno e quer focar reformas no Congresso	nation
179	'Hospital da guerra' no Rio enfrenta disparada de vítimas de tiros	nation
180	Barbara Gancia: Agressão a Mantega em hospital mostra que estamos passando dos limites	nation
181	Os crimes que transformaram mães em ativistas contra a violência policial	nation
182	Após ser solto, Dirceu come pinhão e tira fotos com amigos	nation
183	Folha e UOL realizam sabatina com Eduardo Paes	nation
184	Entidade ligada ao PP firma R$ 28,6 mi em contratos na Bahia	nation
185	Chuvas na região Sul deixam desabrigados e interditam estradas	nation
186	Dez dicas de segurança para quem não quer ser furtado no Carnaval	nation
187	PF diz que não alertou Ministério da Justiça sobre nova fase da Lava Jato	nation
188	Polícia apreende suspeito de atirar em estudante em frente à faculdade em SP	nation
189	Programa de segurança pública de Temer repete governos anteriores	nation
190	Tribunal suspende licitação de Doria para conserto de semáforos em SP	nation
191	FAB vai apurar se combustível causou pane em avião com Huck e Angélica	nation
192	Seis concorrem ao Empreendedor Social nesta quarta em evento no Masp	nation
193	À PF empresário diz não se lembrar de acerto de caixa dois para Mercadante	nation
194	Val Marchiori é acusada de fraude em empréstimo do Banco do Brasil	nation
195	Pressionado pela crise, Metrô de SP abre plano de demissão voluntária	nation
196	Mudanças em zoneamento são falsas polêmicas, diz secretário de Haddad	nation
197	Cresce número de motoristas que se recusam a fazer bafômetro em SP	nation
198	Lewandowski diz que STF pode julgar mérito do impeachment	nation
199	Pilotos usam manches de aviões para ofender colegas	nation
200	Cunha estuda pedir anulação da sessão que aprovou parecer por sua cassação	nation
201	Dilma Rousseff é vaiada na abertura dos Jogos Mundiais indígenas	nation
202	Cresce número de mortos no trânsito na capital paulista em 2014	nation
203	Grupo vaia Cunha e é retirado pela polícia de sessão na Assembleia de SP	nation
204	Novas regras dificultam cesáreas em plano de saúde a partir desta segunda	nation
205	Após caso de anão, novo vídeo mostra festa com cerveja em delegacia de SP	nation
206	Necessidades locais devem orientar políticas públicas, diz Neca Setubal	nation
207	Sigla sacrificou debate com militantes para se tornar competitiva	nation
208	Publicitário diz não conhecer lobista, afirma defesa de João Santana	nation
209	Temer confirma que não é possível cortar verba do fundo partidário	nation
210	Defesa do ex-presidente Lula recusa interrogatório por videoconferência	nation
211	Tempestade de granizo amassa avião e piloto faz pouso de urgência	nation
212	Mortes: Paulistano que trocou o palco pela pintura	nation
213	Cai número de balanças de check-in irregulares nos aeroportos de SP	nation
214	Foi uma tragédia, um horror, repetia sobrevivente de chacina em enterro	nation
215	Antropóloga que sabe detalhes da era FHC diz que livros não trarão segredos	nation
216	Veto ao Uber passa na Câmara de SP e segue agora para avaliação de Haddad	nation
217	Advogados de dono de sítio de Atibaia pedem suspensão de investigação	nation
218	Mortes: Mariozinho, diretor de teatro, formou gerações de atores	nation
219	Após fogo em turbina de avião, Congonhas tem fila de seis horas	nation
220	Lula é intimado a prestar novo depoimento na Operação Zelotes	nation
221	PF tenta prender presidente do PRB-RN, acusado de corrupção na Pesca	nation
222	Novo ministro de Ciência e Tecnologia comete gafe e agradece à ABL	nation
223	Porto Ferreira (SP) cancela Carnaval para compra de ambulância	nation
224	Famílias afetadas por incêndio em Santos receberão benefícios sociais	nation
225	Junho termina com 78% mais chuva do que a média histórica do mês em SP	nation
226	Dilma diz que impeachment provocou a 'destruição' do PSDB	nation
227	Temer pede para Supremo suspender nova denúncia da Procuradoria	nation
228	Polícia investiga 'serial killer' em favela na zona sul de São Paulo	nation
229	PSDB convocará para manifestações contra o governo, diz Aécio	nation
230	Sem-teto encaram 16 h de viagem para engrossar coro contra impeachment	nation
231	Punição para corrupção no Brasil é 'piada de mau gosto', diz procurador	nation
232	Lula pode se tornar assessor especial de Dilma, diz Jaques Wagner	nation
233	Cunha diz que só voltará a falar sobre contas quando se manifestar na Justiça	nation
234	Cúpula do PT quer expulsar senador Delcídio do Amaral	nation
235	Executivos da Odebrecht e Andrade são transferidos para presídio comum	nation
236	Motim no RN foi reação do PCC a AM; facção ameaçou 'tocar fogo em Natal'	nation
237	Câmara empurra para 2020 fim das coligações entre partidos	nation
238	Parte dos moradores da zona oeste de SP ainda estão sem luz após temporal	nation
239	Alvo da Lava Jato, Delcídio é solto e poderá voltar ao trabalho no Senado	nation
240	Com 25% no Datafolha, Doria é alvo em debate; Marta faz ofensiva contra principais adversários	nation
241	Em nota, ABI repudia lentidão no julgamento da morte de cinegrafista	nation
242	Cunha diz desconhecer que Mercadante fazia articulação política	nation
243	Deputados pró-impeachment acusam Barroso de crime de responsabilidade	nation
244	Polícia apura denúncias de agressões de PMs a grupo feminista no RS	nation
245	Pauta mais conservadora ficará em 2º plano na Câmara, diz novo presidente	nation
246	Moradores aproveitam nascente para improvisar cascata em rua da Pompeia	nation
247	Partidos indicam nomes para comissão que discutirá impeachment	nation
248	Dez dicas e dez roubadas para quem vai curtir o Carnaval em Salvador	nation
249	Ação contra chapa Dilma-Temer no TSE terá mais delatores da Lava Jato	nation
250	Promotoria vai à Justiça para que Samarco, Vale e BHP ajudem vítimas	nation
251	Venerado no Nordeste, Padre Cícero recebe perdão da Igreja Católica	nation
252	Novo advogado de Rocha Loures é crítico da delação premiada	nation
253	Miami dá repelentes a moradores de rua e pulveriza área de surto da zika	nation
254	Renan escolheu texto mais duro para condenar ato de Maranhão	nation
255	Grupos de esquerda picham residência oficial do presidente da Câmara	nation
256	Responsáveis por Lava Jato são 'canalhas', diz Lula na Paraíba	nation
257	Mortes: Jornalista e referência na crítica gastronômica	nation
258	Análise: Insatisfação também aumenta em redutos petistas tradicionais	nation
259	Por exames médicos, Delcídio não retomará mandato nesta terça	nation
260	Assim como SP, albergue é alvo de resistência também em Nova York	nation
261	Ministro diz que seguirá entendimento do STF em caso de condenação de Lula	nation
262	Após impeachment, Dilma decide se mudar para o Rio	nation
263	Dirceu dirá que não foi responsável pela indicação de Duque, diz advogado	nation
264	Gleisi Hoffmann é eleita presidente do PT	nation
265	Viaduto da Nove de Julho tem circulação total de carros liberada	nation
266	Estatístico prevê 72% de votos favoráveis a impeachment de Dilma	nation
267	Dono na JBS se reúne com procuradores para negociar leniência	nation
268	Pomposa, barca de açaí com até 16 ingredientes vira modinha na praia	nation
269	Temer recebe Maia no Jaburu para discutir crise política	nation
270	Carreta com peças automotivas tomba na rodovia Régis Bittencourt	nation
271	STJ mantém prisão de ex-tesoureiro do PT João Vaccari e de empreiteiro	nation
272	Em protesto, taxistas depredam espaço da Uber em aeroporto no Rio	nation
273	Polícia gaúcha tem disparada de baixas e perde efetivo	nation
274	Para sobrinha de Costa e Silva, mudar nome do Minhocão não é democracia	nation
275	Tribunal de Contas nega pedido de suspensão de lei polêmica no Paraná	nation
276	Casal sobrevivente de tragédia narra busca alucinada por cinto de segurança	nation
277	Lula diz ver espaço para diálogo com FHC, mas refuta conversa com Temer	nation
278	Adolescente é suspeito de matar sua ex-professora em sequestro-relâmpago	nation
279	Acidente mata seis pessoas da mesma família em rodovia de Andradina (SP)	nation
280	FHC diz que pedido de renúncia de Dilma foi mal interpretado	nation
281	Ex-deputado diz a Moro que repasse em espécie evitou 'fila' em banco	nation
282	Criança é baleada e moradores queimam ônibus em Nova Iguaçu (RJ)	nation
283	Protesto foi menor, mas impeachment está mais forte, diz líder de movimento	nation
284	Acolhidos passam mal após comerem em centro da prefeitura na cracolândia	nation
285	Nova lei de doação favorece quem é rico, conhecido e consegue mobilizar	nation
286	Casal ganha a vida como os caça-fantasmas brasileiros	nation
287	Planalto dá como certa derrota no TCU e vê risco real de perder apoio de Lula	nation
288	Soldado da PM é preso por suspeita de envolvimento em chacina em SP	nation
289	Lewandowski diz que não há prazo para julgar ação sobre impeachment de Temer	nation
290	Pedro Corrêa deve ser primeiro político a fazer delação na Lava Jato	nation
291	'Aos trancos e barrancos, governo vai até o fim', diz Tasso	nation
292	Erramos: Oito indústrias de SP têm o dobro da água de toda a cidade de Campinas	nation
293	Adolescentes fazem arrastão e atiram em padre dentro do metrô de SP	nation
294	Planalto avalia que foi um erro incluir Lula em programa do PT	nation
295	Renan diz que governo é alvo de disputa entre PSDB e Eduardo Cunha	nation
296	Odebrecht teme que morte de ministro atrase homologação da delação	nation
297	Após protesto contra o Uber, Rio intensifica fiscalização na cidade	nation
298	Operação Lava Jato é pior que a ditadura, diz advogado	nation
299	Temer diz repudiar vandalismo em manifestação em Brasília	nation
300	Crise na saúde faz hospitais do Rio fecharem emergência	nation
301	Suspeito de decepar orelha de jovem em festa no Rio tem prisão decretada	nation
302	Temer reclama, mas deve manter 'pacote de bondades' de Dilma	nation
303	Sogro de responsável por obra em sítio nega pagamento de R$ 550 mil	nation
304	Assembleia do PR cancela evento que iria homenagear secretário de Richa	nation
305	PMDB diz que Mauro Lopes não pode assumir ministério	nation
306	Bebê aguarda cirurgia urgente em UTI de São Paulo	nation
307	Hospital desperdiçou R$ 10 mi com exames acima do preço, diz auditoria	nation
308	Petistas silenciam sobre Aécio estar à frente de Lula em pesquisa Datafolha	nation
309	'Narcotráfico é pior do que droga', diz Pepe Mujica, em evento no Rio	nation
310	Acidente deixa cinco mortos no Rio Grande do Sul	nation
311	Sem consenso, sete nomes são citados no PSDB para Prefeitura de São Paulo	nation
312	De olho na prefeitura, Russomanno tenta atrair aliado de Haddad	nation
313	Para impedir reintegração de posse na zona leste, famílias fazem barricadas	nation
314	Mortes: Dizia ter recebido chamado de Deus	nation
315	Mortes: Uma vida de dedicação à família e ao teatro	nation
316	Cunha recorre ao STF contra ação e diz que Procuradoria faz 'alarde'	nation
317	Turista de SP é encontrado morto em piscina de hotel no Recife	nation
318	Ibope indica disputa acirrada por vaga no segundo turno no Rio; Crivella lidera	nation
319	Lula volta a criticar a articulação política do governo Dilma	nation
320	'Falar a verdade não faz bem neste governo', diz Aécio sobre Graça Foster	nation
321	Netinho de Paula usa verba da Câmara de SP para pagar site de campanha	nation
322	Pressionado em debate, líder da disputa em BH diz que 'rouba, mas não pede propina'	nation
323	Em Salvador, Lula diz que governos petistas fizeram mais pelos negros	nation
324	Vila fantasma: Após perder todos os moradores, aldeia vira ponto turístico	nation
325	Câmara de São Paulo aprova projeto que cria empresa para privatizações	nation
326	Mineradora da Vale diz que barragem estava em total condição de segurança	nation
327	Número de vítimas de homicídios dolosos cai 15,95% no Estado de SP	nation
328	Manifestante ferido em ato do MPL em SP deve se encontrar com secretário	nation
329	Dengue afeta vizinhos de rua, gera fila em posto e esgota repelente em SP	nation
330	Em investigação, Mendes e Cardozo são interceptados por grampo da PF	nation
331	Para cientista político, petistas devem se preparar para perder a Presidência	nation
332	Temer reúne equipe para combater discurso de 'vitimização' de petista	nation
333	Responsável por planilha da Odebrecht negocia delação	nation
334	Gestão Alckmin desperdiça água do Rio Grande em plena crise	nation
335	Sem fundo, Zeca do PT demite funcionários e não paga rescisões	nation
336	Assessor de Lula diz que Marta Suplicy agiu de forma 'sórdida'	nation
337	Artistas e movimentos de esquerda convocam ato no Rio por diretas	nation
338	Dilma liga para Cunha para saber de clima antes de votação de vetos	nation
339	Dilma fez pedaladas para repassar dinheiro a programas sociais, diz Lula	nation
340	"Chefe de Polícia diz que laudo de estupro vai contrariar ""senso comum"""	nation
341	Após estabilizar, índice de brasileiros acima do peso volta a crescer	nation
342	Decisão do STF sobre impeachment está sacramentada, diz Cardozo	nation
343	Seminário discute liberdade de expressão em meios digitais	nation
344	Empresário sobrevive a naufrágio e volta para ajudar em resgate no Pará	nation
345	Okamotto pede que Moro deslacre acervo presidencial de Lula	nation
346	Justiça decreta prisão de mais três suspeitos por fogo em clínica no RS	nation
347	Primo de empreiteiro chefia órgão que lhe cedeu aeroporto na Bahia	nation
348	Justiça de Pernambuco suspende liminar que revogava reajuste de tarifa de ônibus	nation
349	Moradores de rua morrem em SP e Curitiba após onda de frio	nation
350	PMDB retoma processo para mudar de nome e voltar a se chamar MDB	nation
351	Veja as mortes e missas publicadas neste sábado	nation
352	Young e Marina Silva fazem transmissão ao vivo para comentar debate	nation
353	Menino de 11 anos morre em suposto confronto com policiais de UPP no Rio	nation
354	Órfãos da dengue: família tenta se recompor após morte de pai	nation
355	Justiça decide indenizar mulher ferida por fogos no Réveillon em R$ 10 mil	nation
356	Com ato de professores, deputados do Paraná fazem sessão a portas fechadas	nation
357	Haddad se diz preocupado com direitos sociais no governo Temer	nation
358	Guarapiranga registra chuvas acima da média para o mês de janeiro	nation
359	Vereadores acusados de usar verbas em festas com prostitutas são afastados	nation
360	Mortes: Mecânico, deu as primeiras lições a Senna	nation
361	Planalto pede investigação de supostos crimes de revista contra Dilma	nation
362	Governo questiona decisão de Moro de mandar áudios só de Lula para STF	nation
363	Novo em Folha: Reportagens sobre franquias podem concorrer a prêmio de R$ 5 mil	nation
364	Abalada por prisão de marido, Gleisi falta a comissão do impeachment	nation
365	Urupema (SC) registra -0,3ºC; índice está acima da média histórica	nation
366	Governador do Rio admite erro da PM em ação que matou menino no Alemão	nation
367	TJ apura atraso em decisões de juíza que soltou presos em SP	nation
368	TCU investiga fundo de pensão dos Correios, suspeito de irregularidades	nation
369	70 entidades ligadas ao transporte de carga pedem renúncia de Dilma	nation
370	Temer telefona para Maia e Rosso para parabenizá-los pelo resultado	nation
371	Para Rui Falcão, é preciso ter cautela com conclusões sobre Santana	nation
372	Youssef diz que pagou em 2012 dívida de campanha do PT a mando da UTC	nation
373	Presidente do STF libera propaganda do governo para Olimpíada	nation
374	Arena do Corinthians foi presente para Lula, diz patriarca da Odebrecht	nation
375	Não há irregularidades que deem razão a impeachment, diz José Serra	nation
376	Com retorno do impeachment, Lula viaja a Brasília para encontro com Dilma	nation
377	Ato em desagravo a Marcelo Bretas reúne artistas, juízes e procuradores	nation
378	Na véspera de análise da denúncia, Temer tenta virar votos e garantir quorum	nation
379	Manobra de Alckmin para reduzir homicídios não tem respaldo da ONU	nation
380	Lula loteou BR Distribuidora entre Collor e PT, diz procurador	nation
381	Deputado adia escolha sobre relator de cassação de Cunha	nation
382	Em reação a protestos, marqueteiro cria slogan 'Bora, Temer'	nation
383	'A vida é assim', diz Rodrigo Maia sobre tom de ameaça de Cunha	nation
384	Defesa de Joesley e Saud pede ao STF revogação de prisão temporária	nation
385	Manifestantes detidos durante ato contra tarifa em SP são liberados	nation
386	Página do deputado federal Jean Wyllys no Facebook é invadida	nation
387	Chico Buarque, Tite e outros famosos parabenizam Lula por aniversário	nation
388	Comissão tenta blindar Maia e Eunício contra avanço da Lava Jato	nation
389	Datena rebate Maluf: 'Jamais apertaria a mão dele por qualquer acordo'	nation
390	PSDB deverá abrir mão de aval de promotor para reduzir maioridade	nation
391	Mãe diz que filho rouba, mas não matou médico no Rio	nation
392	Investigados pela Lava Jato almejam reeleição em 2018	nation
393	STJ cassa direitos políticos de candidata a prefeita de Florianópolis que disputará segundo turno	nation
394	Polícia Federal indicia ex-chefe de fundo dos Correios	nation
395	Câmara quer votar cláusula de barreira e fim de coligações nesta quarta	nation
396	Empresa bancou evento de Doria, diz Ministério Público	nation
397	Samarco fecha acordo parcial para indenizar vítimas de barragem em MG	nation
398	Termina rebelião iniciada após operação contra facção no Paraná	nation
399	Falta atenção do Planalto com a CPI da Petrobras, afirma relator da comissão	nation
400	Câmara pagará hotel para 223 deputados	nation
401	Cristovam sinaliza pelo impeachment e diz que não teme rótulo de golpista	nation
402	França nega, e EUA limitam dinheiro privado em campanhas; compare	nation
403	Polícia prende suspeitos de mortes em série na zona sul de SP	nation
